Latitude,Longitude
32.6010112,-86.6807365
61.3025006,-158.7750198
34.1682185,-111.930907
34.7519275,-92.1313784
37.2718745,-119.2704153
38.9979339,-105.550567
41.5187835,-72.757507
39.145251,-75.4189206
38.8993487,-77.0145666
27.9757279,-83.8330166
